,Loc1,Loc2,Average
62,St James the Apostle Parish Plaridel,Museum of Philippine Political History Malolos,8101.304013280831
63,Museum of Philippine Political History Malolos,St James the Apostle Parish Plaridel,8101.304013280831
64,St James the Apostle Parish Plaridel,Hiyas Bulacan Cultural Center and Museum Malolos,7272.825101790702
65,Hiyas Bulacan Cultural Center and Museum Malolos,St James the Apostle Parish Plaridel,7272.825101790702
66,St James the Apostle Parish Plaridel,Alberta Uitangcoy Santos House Malolos,8606.185033144957
67,Alberta Uitangcoy Santos House Malolos,St James the Apostle Parish Plaridel,8606.185033144957
68,St James the Apostle Parish Plaridel,Old PNR  Guiguinto Station Guiguinto,8382.192514706401
69,Old PNR  Guiguinto Station Guiguinto,St James the Apostle Parish Plaridel,8382.192514706401
70,St James the Apostle Parish Plaridel,Constantino Ancestral HouseBalagtas,11096.14098281282
71,Constantino Ancestral HouseBalagtas,St James the Apostle Parish Plaridel,11096.14098281282
72,St James the Apostle Parish Plaridel,Diocsan Shrine Bulakan,11187.215901781596
73,Diocsan Shrine Bulakan,St James the Apostle Parish Plaridel,11187.215901781596
74,St James the Apostle Parish Plaridel,Old Meycauayan PNR Station Meycauayan,22343.798091313285
75,Old Meycauayan PNR Station Meycauayan,St James the Apostle Parish Plaridel,22343.798091313285
76,St James the Apostle Parish Plaridel,St Francis of Aggigi Parish Meycauayan,22557.16259902715
77,St Francis of Aggigi Parish Meycauayan,St James the Apostle Parish Plaridel,22557.16259902715
78,Municipal Trial Court Pulilan,Parish of St John the Baptist Calumpit,9892.526458306258
79,Parish of St John the Baptist Calumpit,Municipal Trial Court Pulilan,9892.526458306258
80,Municipal Trial Court Pulilan,Barasoain Church Malolos,12024.301084081388
81,Barasoain Church Malolos,Municipal Trial Court Pulilan,12024.301084081388
82,Municipal Trial Court Pulilan,Immaculate Conception Parish Malolos,12581.5501962081
83,Immaculate Conception Parish Malolos,Municipal Trial Court Pulilan,12581.5501962081
84,Municipal Trial Court Pulilan,Museum of Philippine Political History Malolos,12261.54824480657
85,Museum of Philippine Political History Malolos,Municipal Trial Court Pulilan,12261.54824480657
86,Municipal Trial Court Pulilan,Hiyas Bulacan Cultural Center and Museum Malolos,11433.06933331644
87,Hiyas Bulacan Cultural Center and Museum Malolos,Municipal Trial Court Pulilan,11433.06933331644
88,Municipal Trial Court Pulilan,Alberta Uitangcoy Santos House Malolos,12766.429264670696
89,Alberta Uitangcoy Santos House Malolos,Municipal Trial Court Pulilan,12766.429264670696
90,Municipal Trial Court Pulilan,Old PNR  Guiguinto Station Guiguinto,11150.87645078718
91,Old PNR  Guiguinto Station Guiguinto,Municipal Trial Court Pulilan,11150.87645078718
92,Municipal Trial Court Pulilan,Constantino Ancestral HouseBalagtas,13623.76643917404
93,Constantino Ancestral HouseBalagtas,Municipal Trial Court Pulilan,13623.76643917404
94,Municipal Trial Court Pulilan,Diocsan Shrine Bulakan,14912.420028743338
95,Diocsan Shrine Bulakan,Municipal Trial Court Pulilan,14912.420028743338
96,Municipal Trial Court Pulilan,Old Meycauayan PNR Station Meycauayan,24871.42354767451
97,Old Meycauayan PNR Station Meycauayan,Municipal Trial Court Pulilan,24871.42354767451
98,Municipal Trial Court Pulilan,St Francis of Aggigi Parish Meycauayan,25084.788055388373
99,St Francis of Aggigi Parish Meycauayan,Municipal Trial Court Pulilan,25084.788055388373
100,Parish of St John the Baptist Calumpit,Barasoain Church Malolos,10032.05003803577
101,Barasoain Church Malolos,Parish of St John the Baptist Calumpit,10032.05003803577
102,Parish of St John the Baptist Calumpit,Immaculate Conception Parish Malolos,10374.667942994598
103,Immaculate Conception Parish Malolos,Parish of St John the Baptist Calumpit,10374.667942994598
104,Parish of St John the Baptist Calumpit,Museum of Philippine Political History Malolos,10054.665991593072
105,Museum of Philippine Political History Malolos,Parish of St John the Baptist Calumpit,10054.665991593072
106,Parish of St John the Baptist Calumpit,Hiyas Bulacan Cultural Center and Museum Malolos,8899.643362590978
107,Hiyas Bulacan Cultural Center and Museum Malolos,Parish of St John the Baptist Calumpit,8899.643362590978
108,Parish of St John the Baptist Calumpit,Alberta Uitangcoy Santos House Malolos,10559.547011457194
109,Alberta Uitangcoy Santos House Malolos,Parish of St John the Baptist Calumpit,10559.547011457194
110,Parish of St John the Baptist Calumpit,Old PNR  Guiguinto Station Guiguinto,17866.546946563252
111,Old PNR  Guiguinto Station Guiguinto,Parish of St John the Baptist Calumpit,17866.546946563252
112,Parish of St John the Baptist Calumpit,Constantino Ancestral HouseBalagtas,20353.418020560464
113,Constantino Ancestral HouseBalagtas,Parish of St John the Baptist Calumpit,20353.418020560464
114,Parish of St John the Baptist Calumpit,Diocsan Shrine Bulakan,19488.50110018227
115,Diocsan Shrine Bulakan,Parish of St John the Baptist Calumpit,19488.50110018227
116,Parish of St John the Baptist Calumpit,Old Meycauayan PNR Station Meycauayan,31601.075129060933
117,Old Meycauayan PNR Station Meycauayan,Parish of St John the Baptist Calumpit,31601.075129060933
118,Parish of St John the Baptist Calumpit,St Francis of Aggigi Parish Meycauayan,31814.439636774794
119,St Francis of Aggigi Parish Meycauayan,Parish of St John the Baptist Calumpit,31814.439636774794
120,Barasoain Church Malolos,Immaculate Conception Parish Malolos,651.5807229516845
121,Immaculate Conception Parish Malolos,Barasoain Church Malolos,651.5807229516845
122,Barasoain Church Malolos,Museum of Philippine Political History Malolos,331.5787715501543
123,Museum of Philippine Political History Malolos,Barasoain Church Malolos,331.5787715501543
124,Barasoain Church Malolos,Hiyas Bulacan Cultural Center and Museum Malolos,1161.4874098110192
125,Hiyas Bulacan Cultural Center and Museum Malolos,Barasoain Church Malolos,1161.4874098110192
126,Barasoain Church Malolos,Alberta Uitangcoy Santos House Malolos,836.4597914142802
127,Alberta Uitangcoy Santos House Malolos,Barasoain Church Malolos,836.4597914142802
128,Barasoain Church Malolos,Old PNR  Guiguinto Station Guiguinto,9223.243620822512
129,Old PNR  Guiguinto Station Guiguinto,Barasoain Church Malolos,9223.243620822512
130,Barasoain Church Malolos,Constantino Ancestral HouseBalagtas,11710.11469481973
131,Constantino Ancestral HouseBalagtas,Barasoain Church Malolos,11710.11469481973
132,Barasoain Church Malolos,Diocsan Shrine Bulakan,10392.997125694408
133,Diocsan Shrine Bulakan,Barasoain Church Malolos,10392.997125694408
134,Barasoain Church Malolos,Old Meycauayan PNR Station Meycauayan,22957.771803320185
135,Old Meycauayan PNR Station Meycauayan,Barasoain Church Malolos,22957.771803320185
136,Barasoain Church Malolos,St Francis of Aggigi Parish Meycauayan,23171.136311034054
137,St Francis of Aggigi Parish Meycauayan,Barasoain Church Malolos,23171.136311034054
138,Immaculate Conception Parish Malolos,Museum of Philippine Political History Malolos,320.0019514015301
139,Museum of Philippine Political History Malolos,Immaculate Conception Parish Malolos,320.0019514015301
140,Immaculate Conception Parish Malolos,Hiyas Bulacan Cultural Center and Museum Malolos,1718.736521937731
141,Hiyas Bulacan Cultural Center and Museum Malolos,Immaculate Conception Parish Malolos,1718.736521937731
142,Immaculate Conception Parish Malolos,Alberta Uitangcoy Santos House Malolos,259.3169826367586
143,Alberta Uitangcoy Santos House Malolos,Immaculate Conception Parish Malolos,259.3169826367586
144,Immaculate Conception Parish Malolos,Old PNR  Guiguinto Station Guiguinto,9472.368347315938
145,Old PNR  Guiguinto Station Guiguinto,Immaculate Conception Parish Malolos,9472.368347315938
146,Immaculate Conception Parish Malolos,Constantino Ancestral HouseBalagtas,11959.239421313156
147,Constantino Ancestral HouseBalagtas,Immaculate Conception Parish Malolos,11959.239421313156
148,Immaculate Conception Parish Malolos,Diocsan Shrine Bulakan,9975.087248964619
149,Diocsan Shrine Bulakan,Immaculate Conception Parish Malolos,9975.087248964619
150,Immaculate Conception Parish Malolos,Old Meycauayan PNR Station Meycauayan,23206.896529813606
151,Old Meycauayan PNR Station Meycauayan,Immaculate Conception Parish Malolos,23206.896529813606
152,Immaculate Conception Parish Malolos,St Francis of Aggigi Parish Meycauayan,23420.261037527474
153,St Francis of Aggigi Parish Meycauayan,Immaculate Conception Parish Malolos,23420.261037527474
154,Museum of Philippine Political History Malolos,Hiyas Bulacan Cultural Center and Museum Malolos,1398.7345705362009
155,Hiyas Bulacan Cultural Center and Museum Malolos,Museum of Philippine Political History Malolos,1398.7345705362009
156,Museum of Philippine Political History Malolos,Alberta Uitangcoy Santos House Malolos,504.88101986412596
157,Alberta Uitangcoy Santos House Malolos,Museum of Philippine Political History Malolos,504.88101986412596
158,Museum of Philippine Political History Malolos,Old PNR  Guiguinto Station Guiguinto,9353.271075191087
159,Old PNR  Guiguinto Station Guiguinto,Museum of Philippine Political History Malolos,9353.271075191087
160,Museum of Philippine Political History Malolos,Constantino Ancestral HouseBalagtas,11840.142149188305
161,Constantino Ancestral HouseBalagtas,Museum of Philippine Political History Malolos,11840.142149188305
162,Museum of Philippine Political History Malolos,Diocsan Shrine Bulakan,10061.418354144254
163,Diocsan Shrine Bulakan,Museum of Philippine Political History Malolos,10061.418354144254
164,Museum of Philippine Political History Malolos,Old Meycauayan PNR Station Meycauayan,23087.799257688755
165,Old Meycauayan PNR Station Meycauayan,Museum of Philippine Political History Malolos,23087.799257688755
166,Museum of Philippine Political History Malolos,St Francis of Aggigi Parish Meycauayan,23301.163765402624
167,St Francis of Aggigi Parish Meycauayan,Museum of Philippine Political History Malolos,23301.163765402624
168,Hiyas Bulacan Cultural Center and Museum Malolos,Alberta Uitangcoy Santos House Malolos,1903.6155904003267
169,Alberta Uitangcoy Santos House Malolos,Hiyas Bulacan Cultural Center and Museum Malolos,1903.6155904003267
170,Hiyas Bulacan Cultural Center and Museum Malolos,Old PNR  Guiguinto Station Guiguinto,8966.903583972275
171,Old PNR  Guiguinto Station Guiguinto,Hiyas Bulacan Cultural Center and Museum Malolos,8966.903583972275
172,Hiyas Bulacan Cultural Center and Museum Malolos,Constantino Ancestral HouseBalagtas,11453.77465796949
173,Constantino Ancestral HouseBalagtas,Hiyas Bulacan Cultural Center and Museum Malolos,11453.77465796949
174,Hiyas Bulacan Cultural Center and Museum Malolos,Diocsan Shrine Bulakan,10588.85773759129
175,Diocsan Shrine Bulakan,Hiyas Bulacan Cultural Center and Museum Malolos,10588.85773759129
176,Hiyas Bulacan Cultural Center and Museum Malolos,Old Meycauayan PNR Station Meycauayan,22701.431766469945
177,Old Meycauayan PNR Station Meycauayan,Hiyas Bulacan Cultural Center and Museum Malolos,22701.431766469945
178,Hiyas Bulacan Cultural Center and Museum Malolos,St Francis of Aggigi Parish Meycauayan,22914.79627418381
179,St Francis of Aggigi Parish Meycauayan,Hiyas Bulacan Cultural Center and Museum Malolos,22914.79627418381
180,Alberta Uitangcoy Santos House Malolos,Old PNR  Guiguinto Station Guiguinto,9657.154447967136
181,Old PNR  Guiguinto Station Guiguinto,Alberta Uitangcoy Santos House Malolos,9657.154447967136
182,Alberta Uitangcoy Santos House Malolos,Constantino Ancestral HouseBalagtas,12144.025521964353
183,Constantino Ancestral HouseBalagtas,Alberta Uitangcoy Santos House Malolos,12144.025521964353
184,Alberta Uitangcoy Santos House Malolos,Diocsan Shrine Bulakan,9829.750854077487
185,Diocsan Shrine Bulakan,Alberta Uitangcoy Santos House Malolos,9829.750854077487
186,Alberta Uitangcoy Santos House Malolos,Old Meycauayan PNR Station Meycauayan,23391.682630464806
187,Old Meycauayan PNR Station Meycauayan,Alberta Uitangcoy Santos House Malolos,23391.682630464806
188,Alberta Uitangcoy Santos House Malolos,St Francis of Aggigi Parish Meycauayan,23605.04713817867
189,St Francis of Aggigi Parish Meycauayan,Alberta Uitangcoy Santos House Malolos,23605.04713817867
190,Old PNR  Guiguinto Station Guiguinto,Constantino Ancestral HouseBalagtas,3251.0660098569147
191,Constantino Ancestral HouseBalagtas,Old PNR  Guiguinto Station Guiguinto,3251.0660098569147
192,Old PNR  Guiguinto Station Guiguinto,Diocsan Shrine Bulakan,4518.254859331205
193,Diocsan Shrine Bulakan,Old PNR  Guiguinto Station Guiguinto,4518.254859331205
194,Old PNR  Guiguinto Station Guiguinto,Old Meycauayan PNR Station Meycauayan,14498.723118357371
195,Old Meycauayan PNR Station Meycauayan,Old PNR  Guiguinto Station Guiguinto,14498.723118357371
196,Old PNR  Guiguinto Station Guiguinto,St Francis of Aggigi Parish Meycauayan,14712.08762607124
197,St Francis of Aggigi Parish Meycauayan,Old PNR  Guiguinto Station Guiguinto,14712.08762607124
198,Constantino Ancestral HouseBalagtas,Diocsan Shrine Bulakan,5082.885368044706
199,Diocsan Shrine Bulakan,Constantino Ancestral HouseBalagtas,5082.885368044706
200,Constantino Ancestral HouseBalagtas,Old Meycauayan PNR Station Meycauayan,11287.388143345983
201,Old Meycauayan PNR Station Meycauayan,Constantino Ancestral HouseBalagtas,11287.388143345983
202,Constantino Ancestral HouseBalagtas,St Francis of Aggigi Parish Meycauayan,11500.752651059853
203,St Francis of Aggigi Parish Meycauayan,Constantino Ancestral HouseBalagtas,11500.752651059853
204,Diocsan Shrine Bulakan,Old Meycauayan PNR Station Meycauayan,16330.54247654516
205,Old Meycauayan PNR Station Meycauayan,Diocsan Shrine Bulakan,16330.54247654516
206,Diocsan Shrine Bulakan,St Francis of Aggigi Parish Meycauayan,16543.90698425903
207,St Francis of Aggigi Parish Meycauayan,Diocsan Shrine Bulakan,16543.90698425903
208,Old Meycauayan PNR Station Meycauayan,St Francis of Aggigi Parish Meycauayan,863.5728129086608
209,St Francis of Aggigi Parish Meycauayan,Old Meycauayan PNR Station Meycauayan,863.5728129086608
